# Error table with no prior information for ACF noise level 0.010 and radar frequency 2.33e+08.
# 
# The first six columns are values of the plasma parameters, and the last four
# columns are the relative errors in four-parameter (Ne, Ti, Te/Ti, Vi) fits.
# 
# For details, see Vallinkoski et al. (1988), https://doi.org/10.1016/0021-9169(88)90106-7
# and Appendix B of Lehtinen (2014), http://urn.fi/urn:isbn:9789526205854
# 
# Ilkka Virtanen (ilkka.i.virtanen@oulu.fi), 2022
# 
#Ne [1/m3]   Ti [K]   Te/Ti   Coll [1/s]   Vi [m/s]   [O+]   Err(Ne/N0)   Err(Ti/T0)   Err(Te/Ti)   Err(Vi/Vi0)
Ne   Ti    Te/Ti   Coll   Vi    [O+]   Err(Ne/N0)   Err(Ti/T0)   Err(Te/Ti)   Err(Vi/Vi0)
    1e+10      100    0.5             0      -2000    0.0         0.03         0.04         0.08          2.72
    1e+10      100    0.5             0      -2000    0.5         0.03         0.05         0.09          3.63
    1e+10      100    0.5             0      -2000    1.0         0.03         0.05         0.09          4.42
    1e+10      100    0.5             0      -1000    0.0         0.03         0.04         0.08          2.72
    1e+10      100    0.5             0      -1000    0.5         0.03         0.05         0.09          3.63
    1e+10      100    0.5             0      -1000    1.0         0.03         0.05         0.09          4.42
    1e+10      100    0.5             0          0    0.0         0.03         0.04         0.08          2.72
    1e+10      100    0.5             0          0    0.5         0.03         0.05         0.09          3.63
    1e+10      100    0.5             0          0    1.0         0.03         0.05         0.09          4.42
    1e+10      100    0.5             0       1000    0.0         0.03         0.04         0.08          2.72
    1e+10      100    0.5             0       1000    0.5         0.03         0.05         0.09          3.63
    1e+10      100    0.5             0       1000    1.0         0.03         0.05         0.09          4.42
    1e+10      100    0.5             0       2000    0.0         0.03         0.04         0.08          2.72
    1e+10      100    0.5             0       2000    0.5         0.03         0.05         0.09          3.63
    1e+10      100    0.5             0       2000    1.0         0.03         0.05         0.09          4.42
    1e+10      100    0.5           500      -2000    0.0         0.04         0.06         0.11          2.64
    1e+10      100    0.5           500      -2000    0.5         0.04         0.07         0.13          3.47
    1e+10      100    0.5           500      -2000    1.0         0.04         0.06         0.12          4.36
    1e+10      100    0.5           500      -1000    0.0         0.04         0.06         0.11          2.64
    1e+10      100    0.5           500      -1000    0.5         0.04         0.07         0.13          3.47
    1e+10      100    0.5           500      -1000    1.0         0.04         0.06         0.12          4.36
    1e+10      100    0.5           500          0    0.0         0.04         0.06         0.11          2.64
    1e+10      100    0.5           500          0    0.5         0.04         0.07         0.13          3.47
    1e+10      100    0.5           500          0    1.0         0.04         0.06         0.12          4.36
    1e+10      100    0.5           500       1000    0.0         0.04         0.06         0.11          2.64
    1e+10      100    0.5           500       1000    0.5         0.04         0.07         0.13          3.47
    1e+10      100    0.5           500       1000    1.0         0.04         0.06         0.12          4.36
    1e+10      100    0.5           500       2000    0.0         0.04         0.06         0.11          2.64
    1e+10      100    0.5           500       2000    0.5         0.04         0.07         0.13          3.47
    1e+10      100    0.5           500       2000    1.0         0.04         0.06         0.12          4.36
    1e+10      100    0.5          3000      -2000    0.0         0.21         0.28         0.66          1.25
    1e+10      100    0.5          3000      -2000    0.5         0.17         0.25         0.55          1.77
    1e+10      100    0.5          3000      -2000    1.0         0.14         0.20         0.45          2.64
    1e+10      100    0.5          3000      -1000    0.0         0.21         0.28         0.66          1.25
    1e+10      100    0.5          3000      -1000    0.5         0.17         0.25         0.55          1.77
    1e+10      100    0.5          3000      -1000    1.0         0.14         0.20         0.45          2.64
    1e+10      100    0.5          3000          0    0.0         0.21         0.28         0.66          1.25
    1e+10      100    0.5          3000          0    0.5         0.17         0.25         0.55          1.77
    1e+10      100    0.5          3000          0    1.0         0.14         0.20         0.45          2.64
    1e+10      100    0.5          3000       1000    0.0         0.21         0.28         0.66          1.25
    1e+10      100    0.5          3000       1000    0.5         0.17         0.25         0.55          1.77
    1e+10      100    0.5          3000       1000    1.0         0.14         0.20         0.45          2.64
    1e+10      100    0.5          3000       2000    0.0         0.21         0.28         0.66          1.25
    1e+10      100    0.5          3000       2000    0.5         0.17         0.25         0.55          1.77
    1e+10      100    0.5          3000       2000    1.0         0.14         0.20         0.45          2.64
    1e+10      100    1.0             0      -2000    0.0         0.03         0.04         0.06          3.55
    1e+10      100    1.0             0      -2000    0.5         0.04         0.05         0.07          5.10
    1e+10      100    1.0             0      -2000    1.0         0.03         0.05         0.07          5.77
    1e+10      100    1.0             0      -1000    0.0         0.03         0.04         0.06          3.55
    1e+10      100    1.0             0      -1000    0.5         0.04         0.05         0.07          5.10
